Based only on the name, what kind of object is this? (101955) 1999 RQ36	A: Asteroid
Based only on the name, what kind of object is this? 3C 234	A: Radio source (~160 MHz visibility) 
Based only on the name, what kind of object is this? Abell 426	A: Galaxy cluster
Based only on the name, what kind of object is this? Arp 220	A: Peculiar galaxy 
Based only on the name, what kind of object is this? GRB 190515B	A: Gamma Ray Burst. The name is the date observed.
Based only on the name, what kind of object is this? GW 190425	A: Neutron Star/BH merger detected with GWaves
Based only on the name, what kind of object is this? HD 128220	A: Henry Draper star catalog - spectroscopic classifications
Based only on the name, what kind of object is this? Mk 509	A: Active Galaxy
Based only on the name, what kind of object is this? NGC 2808	A: New General Catalog - anything non-star like and extended (galaxies, GCs, nebulae, SN remnants)
Based only on the name, what kind of object is this? PSR 0950+08	A: Pulsar. The name is the coordinate.
Based only on the name, what kind of object is this? QSO 1015+277	A: Quasar
Based only on the name, what kind of object is this? V1367 Centauri	A: Variable star
Based only on the name, what kind of object is this? α Crucis	A: Brightest star in the Crucis constellation
Briefly describe the Alfven wave	A: Waves where the restoring force is magnetic tension and the inertia is from ions bound to the field lines. 
Briefly describe the Bayes’ theorem	A: One can calculate the probability of an event A given event B occured in terms of the probability of B happened given the A happened. P(A|B) = P(A,B)/P(B) = P(B|A)*P(A)/P(B). Derivable via venn diagram.
Briefly describe the Bondi radius	A: Hill radius = max radius of gravitational attraction in a multi-body system, outside of which it gets accreted to the other body. Bondi radius takes into account the relative velocity of the medium compared to the object (i.e., moving through medium). 
Briefly describe the Chandrasekhar mass	A: Max stable mass of a white dwarf=1.4 Ms which is supported by electron degeneracy pressure. Derive with: N = volume in phase space * spin / h^3, then assume nonrelativistic, then solve dE/dR=0. 
Briefly describe the Compton scattering	A: Scattering of photon by electron, reducing the energy of the photon and increasing the energy of the electron. 
Briefly describe the Eddington limit	A: The maximum luminosity a star can achieve before balance between radiation pressure and gravitational pressure. Passing it causes a stellar wind. L_e = 3e4 M in solar units.
Briefly describe the Einstein ring	A: The lensing of a source into a ring shape due to passing around an extremely massive foreground source, when the source/lens/observer are aligned.
Briefly describe the Faber-Jackson relation	A: Empirically-derived relation between luminosity and stellar velocity dispersion: L \propto \sigma^\alpha, \alpha is 4. Elliptical galaxy.
Briefly describe the Gunn-Peterson trough	A: Feature of the spectra of quasars due to the presence of neutral hydrogen in the Intergalactic Medium. See a "trough" at wavelengths less than that of the Lyman-alpha line at the redshift of the emitted light. 
Briefly describe the Hertzsprung-Russell diagram + draw it	A: Scatter plot of stars showing the relationship between the stars' absolute magnitudes versus their effective temperatures. Draw this diagram: http://archive.is/royYB and this one: http://archive.is/dtHO2. 
Briefly describe the Hubble constant	A: H0 is the observed hubble parameter z=0. Hubble parameter describes the relative expansion according to v=Hd. Like an elastic band stretching, things farther move faster. H0 is 70 km/s/Mpc. Can write as H^2=adot^2/a^2.
Briefly describe the Jansky (unit of measure)	A: 1e-23 erg/cm^2/Hz. Spectral flux density. Sun is 4 MJy at 10 GHz.
Briefly describe the Julian date	A: The number of days since January 1, 4713 BC (around 2.5 million). Modified JD is November 17, 1858.
Briefly describe the Kelvin-Helmholtz timescale	A: Thermal timescale: KE/L. GM^2/RL for stars. Sun: 30 Myr. 
Briefly describe the Kennicutt-Schmidt law	A: SFR surface density \propto (interstellar gas surface density)^1.4. To measure: use Halpha for SFR, and HI and CO for gas. In reality its lower than 1.4 due to feedback at lower mass.
Briefly describe the Kerr metric	A: The general relativity metric for a rotating stationary black hole described by mass and spin. Used for objects with accretion disks which spin them up. Is axisymmetric about its spin axis. A naked singularity results when the angular momentum = mass^2 (in units G=c=1)
Briefly describe the Kirchoff’s laws of spectroscopy	A: Luminous solid/liquid/dense gas emits all colors of light. Low density hot gas against cool background emits bright line (emission spectrum). Low density cool gas in front of hot source of continuous spectrum creates a dark line (absorption spectrum).
Briefly describe the Kolmogorov turbulence	A: Describe turbulence with eddies (swirling of fluid and reverse current). At high Reynold's numbers, turbulence is always isotropic, and universally determined by kinematic viscosity and energy dissipation: defining the Kolmogorov length.
Briefly describe the Kraft break	A: The abrupt decrease in stars' rotation rates at surface temperatures of about 6200 K. The dynamos are thought to maintain magnetic fields that transfer angular momentum to the stellar wind, thus slowing down the star's surface through magnetic braking. In hot stars the process is less efficient (because the convective envelopes are shallow) so the stars continue to rotate quickly.
Briefly describe the Larmor radius	A: (radius of gyration) = radius of circulation of a charged particle in a magnetic field. =mv/qB. v is perp. qB/m is frequency.
Briefly describe the Leavitt law	A: The period-luminosity relationship for classical cephid variables. Log-log relation: increased period increases the luminosity. 
Briefly describe the Lense-Thirring precession	A: Frame dragging of spinning metric (weak-field Kerr) causes a gyroscope to precess. I.e., for a test particle in orbit, causes the ascending node and the argument of pericenter to precess. For Mercury, this is much smaller than regular GR precession correction.
Briefly describe the Lidov-Kozai mechanism	A: A distant third body causing a tighter binary's orbit's argument of pericenter to oscillate about a constant value, which in turn leads to a periodic exchange between its eccentricity and inclination. Happens on scales larger than the orbit period. It can drive an initially near-circular orbit to arbitrarily high eccentricity. (1-e^2)cos(i)^2 is constant. 
Briefly describe the Mach number	A: Speed of an object relative to surrounding medium. >1 is supersonic.
Briefly describe the Oort constants	A: A and B - describe local rotational properties of the Milky Way. A the shearing motion in the disk around the sun, and B the angular momentum gradient. Used to calibrate the galactic rotation curve using only local stars. Can compare with solid body, flat, and keplerian rotation: MW is mix of solid body (center) and flat (outside of that). A=0 for solid body; A=-B for flat rotation. For A=+, val_\pm = \pm/2 (V0/R0 \mp dv/dr).
Briefly describe the Oort limit	A: The edge of the Oort cloud (icy planetesimals orbitting far from sun) - after which the number of comets and minor planets orbiting the sun drops entirely. Thought to be 50 kAU = 0.8 ly.
Briefly describe the Oppenheimer-Volkoff limit	A: (TOV limit) - equivalent of Chandrasekhar mass but for neutron stars. Appears to be about 2.2 Ms for nonrotating. Was originally 0.7 Ms for degenerate (occupy high E states) cold fermionic neutron gas.
Briefly describe the Parker wind	A: Solar wind. Expect spherically symmetric isothermal radial outflow. Four solutions, only two feasible: either monotonic increase in speed past supersonic, or decrease afterward. The monotonic increase is physical: gives accelerating supersonic solar wind. http://farside.ph.utexas.edu/teaching/plasma/Plasmahtml/node67.html. 
Briefly describe the Planck length	A: A unit of length derived from hbar, c, and G. "Scale of quantum gravity". About 10^-35 m.
Briefly describe the Planck spectrum	A: Spectral density of radiation emitted by a body in thermal equilibrium at temperature T: B_v = 2 h v^3/c^2 * (exp(hv/kT) - 1)^-1. Should draw this: https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Black_body.svg/2560px-Black_body.svg.png. 
Briefly describe the Poynting-Robertson drag	A: A dust grain orbitting a star will lose angular momentum over time since in its view, the star is ahead and radiation pressure is against its motion.
Briefly describe the Press-Schechter theory	A: Predicts the number of objects of mass M, assuming a power law power spectrum in the early universe, cutoff mass Ma for structure formation, and average mass.
Briefly describe the Rayleigh criterion	A: theta = 1.22 lambda/D, for lambda the wavelength, D the lens aperture, and theta the angular resolution. Points separated below this theta are not resolvable. For an array (interferometer), it is lambda/B, for B the largest baseline.
Briefly describe the Roche limit	A: The distance within which a celestial body, held together only by its own force of gravity, will disintegrate due to a second celestial body's tidal forces exceeding the first body's gravitational self-attraction. Inside the Roche limit, orbiting material disperses and forms rings whereas outside the limit material tends to coalesce.
Briefly describe the Salpeter IMF	A: An initial mass function = empirical function that describes the initial distribution of masses for a population of stars as they enter the main sequence. Salpeter lets P(m) \propto m^-2.35. Used for modelling galaxy evolution. 
Briefly describe the Schechter function	A: Empirically-derived parametric distribution of the space density of galaxies as a function of their luminosity. \propto L^\alpha exp(-L) dL, where L is normalized by L_ast. alpha=-1.25 is a measurement.
Briefly describe the Schwarzschild criterion	A: Determines whether or not a stellar medium is stable against convection. Convection (heat transfer due to bulk movement of molecules) is stable if dlog(T)/dlog(r) > (gamma-1)/gamma. 
Briefly describe the Sedov-Taylor solution	A: A (similarity) solution to an explosion at early times. The only inputs to the solution are energy E and surrounding density rho. The simiarity variable is r^5 rho/(E t^2) ~ constant.
Briefly describe the Seyfert galaxy	A: Type of active galaxy (the other = Quasar). They have very high surface brightnesses whose spectra reveal strong, high-ionisation emission lines, but unlike quasars, their host galaxies are clearly detectable, so generally closer.
Briefly describe the Sunyaev-Zeldovich effect	A: Distortion of CMB photons moving through galaxy clusters encountering high-energy electrons, which are scattered and receive energy boosts by inverse Compton (e transfer energy). Thus a dark patch at a CMB frequency indicates a cluster.
Briefly describe the Toomre Q	A: Q = cs kappa / pi G Sigma. kappa is differential rotation in Keplerian (Omega). Q > 1 means stable gaseous differentially rotating rotating accretion disk. 
Briefly describe the Tully-Fisher relation	A: Faber Jackson but for spiral galaxies. L ~ (rotational velocity)^4. 
Briefly describe the Weizsacker semi-empirical mass formula	A: A mass formula for atomic nuclei. It incorporates terms for volume, surface tension, Coulomb repulsion, proton-neutron asymmetry, and spin pairing. 
Briefly describe the Zeeman effect	A: Magnetic fields split spectral lines. 
Briefly describe the following instrument and its purpose: 100,000 gallon tank of cleaning fluid	A: Bahcall's solar neutrino experiment. 37-Chlorine in cleaning fluid. Electron neutrino capture to Argon. Bubble argon out with Helium, and measure its decays with a counter, giving neutrino capture numbers. Due to nu_e oscillating between other flavors, missed two-thirds of total.
